pcode,region,province,municipality_city,prelim_2012,pov_2012,se_2012,cov_2012,con_90lower_2012,con_90upper_2012,pov_2009,se_2009,cov_2009,pov_2006,se_2006,cov_2006
PH041001000,Region IV-A,Batangas,Agoncillo,FALSE,16.17,1.64,10.14223871,13.4722,18.8678,15.4,1.9,12.1,19.3,3.2,16.6
PH041002000,Region IV-A,Batangas,Alitagtag,FALSE,6.49,0.65,10.01540832,5.42075,7.55925,8.6,1.5,17,7.5,2.2,28.8
PH041003000,Region IV-A,Batangas,Balayan,FALSE,8.74,0.88,10.06864989,7.2924,10.1876,14.1,1.3,9,17.2,2.1,12.2
PH041004000,Region IV-A,Batangas,Balete,FALSE,10.59,1.03,9.726156752,8.89565,12.28435,17.2,2.8,16.2,24.6,4.4,18
PH041005000,Region IV-A,Batangas,Batangas City,FALSE,3.62,0.72,19.88950276,2.4356,4.8044,7.1,0.7,9.7,8.1,1,11.7
PH041006000,Region IV-A,Batangas,Bauan,FALSE,4.28,0.98,22.89719626,2.6679,5.8921,2.7,0.7,24.4,6.1,1.5,23.8
PH041007000,Region IV-A,Batangas,Calaca,FALSE,19.95,2.99,14.98746867,15.03145,24.86855,17.8,1.7,9.4,28.1,3.5,12.5
PH041008000,Region IV-A,Batangas,Calatagan,FALSE,23.97,3.61,15.06049228,18.03155,29.90845,21.9,2.4,10.8,28.8,3.2,11
PH041009000,Region IV-A,Batangas,Cuenca,FALSE,8.56,1.82,21.26168224,5.5661,11.5539,9.9,1.6,16.5,8.7,2.5,29.2
PH041010000,Region IV-A,Batangas,Ibaan,FALSE,8.58,1.68,19.58041958,5.8164,11.3436,12.1,1.8,15,14.8,2.6,17.3
PH041011000,Region IV-A,Batangas,Laurel,FALSE,31.29,5.85,18.69606903,21.66675,40.91325,21.8,2.5,11.3,29.8,4.5,15.1
PH041012000,Region IV-A,Batangas,Lemery,FALSE,13.66,1.88,13.76281113,10.5674,16.7526,14.3,1.3,8.9,19.6,2.3,11.6
PH041013000,Region IV-A,Batangas,Lian,FALSE,17.97,2.91,16.19365609,13.18305,22.75695,16.5,2.4,14.7,25.6,3.5,13.6
PH041014000,Region IV-A,Batangas,Lipa City,FALSE,5.21,0.84,16.12284069,3.8282,6.5918,3.9,0.6,16.3,5.1,1.1,20.9
PH041015000,Region IV-A,Batangas,Lobo,FALSE,25.86,4.14,16.00928074,19.0497,32.6703,19.1,2.1,10.7,39.5,5.2,13.1
PH041016000,Region IV-A,Batangas,Mabini,FALSE,6.58,1.27,19.30091185,4.49085,8.66915,11.7,1.5,12.9,12.6,2,15.8
PH041017000,Region IV-A,Batangas,Malvar,FALSE,6.62,1.66,25.0755287,3.8893,9.3507,6.5,1.5,22.2,7.5,2.1,27.6
PH041018000,Region IV-A,Batangas,Mataas Na Kahoy,FALSE,4.79,1.41,29.43632568,2.47055,7.10945,9.8,2,20.1,8.7,2.2,24.8
PH041019000,Region IV-A,Batangas,Nasugbu,FALSE,15.32,2.19,14.29503916,11.71745,18.92255,17.3,2,11.3,17.9,2.5,13.7
PH041020000,Region IV-A,Batangas,Padre Garcia,FALSE,13.77,2.43,17.64705882,9.77265,17.76735,16.5,2.5,15.4,17.3,3.7,21.1
PH041021000,Region IV-A,Batangas,Rosario,FALSE,14.93,2.17,14.53449431,11.36035,18.49965,16.8,1.4,8.1,22.3,2.7,12
PH041022000,Region IV-A,Batangas,San Jose,FALSE,8.62,1.48,17.16937355,6.1854,11.0546,11.2,1.7,15.3,11.6,2.6,22.1
PH041023000,Region IV-A,Batangas,San Juan,FALSE,21.21,2.87,13.53135314,16.48885,25.93115,15.4,1.7,11,24.1,2.6,10.8
PH041024000,Region IV-A,Batangas,San Luis,FALSE,10.31,1.94,18.81668283,7.1187,13.5013,9.5,1.6,17.1,14.9,2.9,19.1
PH041025000,Region IV-A,Batangas,San Nicolas,FALSE,10.63,2.4,22.57761054,6.682,14.578,5.3,1.5,27.5,8.5,2.2,26.2
PH041026000,Region IV-A,Batangas,San Pascual,FALSE,2.99,0.82,27.42474916,1.6411,4.3389,5.8,1.2,20.1,7.4,1.8,23.9
PH041027000,Region IV-A,Batangas,Santa Teresita,FALSE,6.02,1.8,29.90033223,3.059,8.981,9.4,2,20.8,12.5,2.7,22
PH041028000,Region IV-A,Batangas,Santo Tomas,FALSE,5.42,1.16,21.40221402,3.5118,7.3282,8.6,1.4,16.3,10,2,19.7
PH041029000,Region IV-A,Batangas,Taal,FALSE,6.96,1.36,19.54022989,4.7228,9.1972,4.1,1,23.2,4.6,1.2,25.4
PH041030000,Region IV-A,Batangas,Talisay,FALSE,10.09,2.05,20.31714569,6.71775,13.46225,5.6,1.5,26.3,7.5,1.9,25.5
PH041031000,Region IV-A,Batangas,City Of Tanauan,FALSE,5.86,0.95,16.2116041,4.29725,7.42275,4,0.7,16.6,7.1,1.2,17.4
PH041032000,Region IV-A,Batangas,Taysan,FALSE,14.94,2.66,17.80455154,10.5643,19.3157,16.6,2,12.2,21.2,3.4,16.1
PH041033000,Region IV-A,Batangas,Tingloy,FALSE,31.64,5.41,17.09860936,22.74055,40.53945,26.2,2.7,10.5,44,5,11.4
PH041034000,Region IV-A,Batangas,Tuy,FALSE,19.77,3.37,17.04602934,14.22635,25.31365,18,1.9,10.6,26.6,3.4,12.9
